DATE_YYYYMMDD,NOAA_PRECIP,NOAA_TEMPMIN,NOAA_TEMPMAX,TEMP,RH,CH_TOTAL,CH_CALLINGMALES,CH_MALES,CH_FEMALES,CH_GRAVIDFEMALES,CH_JUVENILES,CQ_TOTAL,CQ_MALES,CQ_CALLINGMALES,CQ_FEMALES,CQ_GRAVIDFEMALES,CQ_JUVENILES,GRAND_TOTAL
19960626,0,70,89,24.9,81,36,16,12,4,0,4,27,12,10,1,2,1,63
19960703,0.04,70,90,26.3,76,55,12,33,2,1,5,26,19,3,3,0,1,81
19960710,0.54,70,88,26,80,35,14,6,9,1,5,20,12,6,2,0,0,55
19960718,0.66,70,87,23.6,79,17,8,0,0,0,0,9,0,3,0,0,0,26
19960723,0.12,73,88,26.8,74,22,7,0,0,1,2,14,0,4,0,0,0,36
19960906,0.14,72,90,26.9,73,24,0,0,0,0,6,16,0,0,0,1,0,40
19960920,0.47,75,92,26.9,78,6,1,0,0,0,3,22,0,2,1,0,7,28
19961006,0.1,73,88,26.1,79,14,2,2,0,0,6,19,2,2,0,0,1,33
19961026,0.55,70,89,24.5,80,19,5,0,1,0,2,15,0,5,0,2,0,34
19961108,0.5,70,87,24.8,79,17,5,0,0,0,1,24,2,4,0,0,1,41
19961122,1.88,71,87,,,14,7,0,0,2,4,21,0,6,0,0,2,35
19961206,0.12,65,84,24.1,79,8,1,0,0,0,2,14,2,0,0,0,1,22
19961227,1.05,70,83,23.2,81,16,4,1,0,0,0,7,1,1,0,0,1,23
19970125,0.75,70,83,23.5,77,6,1,0,0,0,1,27,3,3,1,0,1,33
19970207,0.11,67,83,23.2,74,6,3,0,0,0,0,18,0,2,1,0,6,24
19970222,1.15,69,83,24,77,3,1,0,1,0,0,18,3,2,1,0,1,21
19970322,0,65,89,23.7,69,12,2,0,0,0,0,13,0,2,1,1,2,25
19970404,0,63,87,24.1,66,14,3,0,1,3,1,5,0,0,0,0,1,19
19970418,0,66,91,24.1,72,12,1,0,0,0,0,12,1,0,1,0,1,24
19970502,0,71,90,26.3,73,17,0,0,0,2,0,16,2,0,0,0,1,33
19970523,0.54,71,88,26.2,75,12,3,0,1,0,0,14,2,0,1,0,3,26
19970605,0,77,94,27.7,71,10,0,0,1,2,0,18,0,0,4,0,4,28
19970621,0.04,74,91,27.7,74,10,2,0,2,0,0,9,0,1,4,0,2,19
19970707,0.53,70,91,27.2,75,8,5,0,1,0,0,18,2,2,3,0,4,26
19970828,0,74,92,27.3,82,16,5,0,0,0,8,26,9,3,1,0,2,42
19970912,0.46,75,90,27.6,71,13,2,0,0,0,5,20,0,2,2,0,1,33
19971003,1.85,74,91,26.5,79,8,4,0,0,0,4,14,0,4,0,0,2,22
19971017,0.21,73,89,25.5,84,8,4,0,0,0,1,13,0,4,1,0,3,21
19971101,,,,,,13,1,0,0,0,6,28,0,4,4,0,7,41
19971114,,,,26.6,78,21,1,0,0,0,7,31,0,4,1,0,9,52
19971128,,,,24.4,79,5,1,0,0,0,1,23,0,3,0,1,7,28
19971213,0,69,89,,,13,2,0,1,0,2,32,1,5,4,0,3,45
19971228,0,71,90,26.5,73,7,2,0,0,0,0,22,0,2,3,1,4,29
19980110,0.17,70,88,24.5,79,11,5,0,0,0,2,11,0,0,1,0,3,22
19980124,0.08,64,89,,,14,2,0,1,1,1,22,2,2,0,0,5,36
19980207,,,,,,11,3,1,0,1,2,18,0,1,0,1,0,29
19980220,,,,24.7,75,11,5,1,0,0,1,18,0,4,0,0,3,29
19980306,0.67,70,83,25.2,75,16,1,1,0,1,5,22,1,1,1,1,6,38
19980313,0,70,86,24,71,14,4,0,1,0,3,22,0,3,3,1,3,36
19980327,0.18,70,88,25.4,69,19,1,0,0,0,2,20,0,1,2,0,4,39
19980418,0.67,70,87,23.9,,16,3,0,1,0,5,23,0,3,0,0,5,39
19980509,,71,90,26.2,,22,4,0,0,0,13,19,1,1,3,0,2,41
19980524,,71,90,27.4,,8,4,0,0,0,2,25,3,1,1,1,8,33
19980613,,,,26.1,,14,3,1,0,0,3,19,0,5,4,0,4,33
19980713,,71,93,27.1,,24,3,0,3,0,12,12,0,1,1,0,4,36
19980822,0.16,73,92,26.9,,12,3,0,0,0,1,20,0,1,0,0,2,32
19981010,,75,93,26,84,23,1,0,0,0,8,17,0,0,0,0,8,40
19981024,0.1,76,91,26.3,84,6,1,0,0,0,2,19,0,2,0,0,4,25
19981114,,,,24.7,53,5,1,0,0,0,0,16,2,1,1,1,5,21
19981211,,72,86,25,82,5,3,0,0,0,0,18,0,0,0,1,9,23
19990130,,63,83,22.6,79,11,0,0,0,0,1,9,0,1,1,0,0,20
19990212,0.97,65,83,22.4,83,15,2,0,0,0,6,13,1,0,0,0,4,28
19990501,,74,93,26.4,78,28,4,0,3,0,11,8,0,1,0,0,4,36
19990531,,70,90,23,85,4,2,0,0,0,0,4,0,0,0,0,0,8
19990704,0.3,72,88,26,80,31,13,0,0,0,2,16,0,3,1,0,2,47
19991009,0.01,70,89,26.4,72,30,10,1,0,0,10,16,4,2,0,0,1,46
19991202,,,,,,28,8,0,1,0,6,24,0,8,0,0,3,52
19991220,,,,,,25,2,0,1,0,7,19,1,6,4,0,2,44
20000204,,,,,,12,1,1,0,0,1,7,1,2,0,0,2,19
20000305,,,,,78,28,2,0,1,0,1,14,0,4,1,0,0,42
20000620,0.01,71,92,,,32,9,0,2,2,2,15,0,8,1,0,0,47
